name,reference product,CPC,interventionpaper
"municipal waste incineration, at incineration plant, with semi-dry air pollution control, without flue gas condensation, with electricity and heat recovery, energy allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with semi-dry air pollution control, with flue gas condensation, with electricity and heat recovery, energy allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with wet air pollution control, without flue gas condensation, with electricity and heat recovery, energy allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with wet air pollution control, with flue gas condensation, with electricity and heat recovery, energy allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with semi-dry air pollution control, with flue gas condensation, with electricity and heat recovery, with carbon capture and storage, energy allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with wet air pollution control, with flue gas condensation, with electricity and heat recovery, with carbon capture and storage, energy allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with wet air pollution control, with flue gas condensation, with electricity and optimized heat recovery, with carbon capture and storage, energy allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with semi-dry air pollution control, without flue gas condensation, with electricity and heat recovery, exergy allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with semi-dry air pollution control, with flue gas condensation, with electricity and heat recovery, exergy allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with wet air pollution control, without flue gas condensation, with electricity and heat recovery, exergy allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with wet air pollution control, with flue gas condensation, with electricity and heat recovery, exergy allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with semi-dry air pollution control, with flue gas condensation, with electricity and heat recovery, with carbon capture and storage, exergy allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with wet air pollution control, with flue gas condensation, with electricity and heat recovery, with carbon capture and storage, exergy allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with wet air pollution control, with flue gas condensation, with electricity and optimized heat recovery, with carbon capture and storage, exergy allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with semi-dry air pollution control, without flue gas condensation, with electricity and heat recovery, economic allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with semi-dry air pollution control, with flue gas condensation, with electricity and heat recovery, economic allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with wet air pollution control, without flue gas condensation, with electricity and heat recovery, economic allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with wet air pollution control, with flue gas condensation, with electricity and heat recovery, economic allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with semi-dry air pollution control, with flue gas condensation, with electricity and heat recovery, with carbon capture and storage, economic allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with wet air pollution control, with flue gas condensation, with electricity and heat recovery, with carbon capture and storage, economic allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"municipal waste incineration, at incineration plant, with wet air pollution control, with flue gas condensation, with electricity and optimized heat recovery, with carbon capture and storage, economic allocation","heat, district or industrial, other than natural gas",17300: Steam and hot water,industrial heat
"heat exchanger production, for VRFB system","heat exchanger, for VRFB system",17300: Steam and hot water,industrial heat
"steam heat production, water-water heat pump, industrial, 100kW","steam heat, water-water heat pump, industrial, 100kW",17300: Steam and hot water,industrial heat
"heat production, water-water heat pump, industrial, 100kW","heat, water-water heat pump, industrial, 100kW",17300: Steam and hot water,industrial heat
"heat production, from hydrogen-fired one gigawatt gas turbine, for grid balancing",heat,17300: Steam and hot water,industrial heat
"heat production, from hydrogen-fired one gigawatt gas turbine",heat,17300: Steam and hot water,industrial heat
"methane, from electrochemical methanation, with carbon from atmosphere, using heat pump heat","methane, from electrochemical methanation",17300: Steam and hot water,industrial heat
"heat production, deep geothermal","heat, deep geothermal",17300: Steam and hot water,industrial heat
"heat production, at 110 MW concentrating solar power plant, with thermal energy storage",heat,17300: Steam and hot water,industrial heat
